"","AIANNHCE","AIANNHNS","GEOID","NAME","NAMELSAD","LSAD","CLASSFP","COMPTYP","AIANNHR","MTFCC","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON"
"149","3935","01934326","3935R","Spirit Lake","Spirit Lake Reservation","86","D2","R","F","G2101","A",1009132344,25326523,"+47.9009428","-098.8702865"
"150","4300","00275158","4300R","Tule River","Tule River Reservation","86","D8","R","F","G2101","A",218117076,0,"+36.0310115","-118.7150100"
"151","1735","01528426","1735R","Kalispel","Kalispel Reservation","86","D8","R","F","G2101","A",18912196,310450,"+48.3564770","-117.2763654"
"152","1365","02418950","1365R","Grand Ronde","Grand Ronde Community","82","D8","R","F","G2101","A",41055812,0,"+45.1488538","-123.6469631"
"153","4445","00653567","4445R","Upper Sioux","Upper Sioux Community","82","D8","R","F","G2101","A",5172326,115487,"+44.7605063","-095.4996869"
"154","2150","02547776","2150R","Match-e-be-nash-she-wish Band of Pottawatomi","Match-e-be-nash-she-wish Band of Pottawatomi Reservation","86","D2","R","F","G2101","A",633449,0,"+42.6340623","-085.6572037"
"155","0770","02418879","0770R","Coos, Lower Umpqua, and Siuslaw","Coos, Lower Umpqua, and Siuslaw Reservation","86","D8","R","F","G2101","A",82966,2912,"+42.8103663","-124.4476014"
"156","4170","00937203","4170R","Tesuque","Tesuque Pueblo","84","D8","R","F","G2101","A",68548041,0,"+35.8029261","-105.9761807"
"157","0795","00545438","0795R","Coushatta","Coushatta Reservation","86","D8","R","F","G2101","A",2983359,0,"+30.5321098","-092.7987266"
"158","1440","00045638","1440R","Havasupai","Havasupai Reservation","86","D2","R","F","G2101","A",714396171,0,"+36.1609891","-112.6134395"
"159","1505","00024001","1505R","Hopi","Hopi Reservation","86","D8","R","F","G2101","A",6557657433,2407602,"+35.9223494","-110.6083668"
"160","2505","01455571","2505R","Northwestern Shoshone","Northwestern Shoshone Reservation","86","D2","R","F","G2101","A",787668,0,"+41.9458055","-112.2348633"
"161","1625","01934338","1625R","Isleta","Isleta Pueblo","84","D2","R","F","G2101","A",854878201,2422058,"+34.8924536","-106.6461959"
"162","1840","01934340","1840R","Laguna","Laguna Pueblo","84","D8","R","F","G2101","A",1986576698,2304268,"+35.0271451","-107.2340015"
"163","2430","00041148","2430R","Navajo Nation","Navajo Nation Reservation","86","D8","R","F","G2101","A",57595513243,67218917,"+36.2060997","-109.9108419"
"164","3370","01934343","3370R","Sandia","Sandia Pueblo","84","D2","R","F","G2101","A",99315856,1418595,"+35.2428137","-106.5244662"
"165","2680","02419049","2680R","Pascua Pueblo Yaqui","Pascua Pueblo Yaqui Reservation","86","D8","R","F","G2101","A",3639895,0,"+32.1116798","-111.0822162"
"166","3130","00853944","3130R","Reno-Sparks","Reno-Sparks Indian Colony","98","D2","R","F","G2101","A",8698676,0,"+39.6918049","-119.7454767"
"167","0215","00256889","0215R","Big Bend","Big Bend Rancheria","85","D2","R","F","G2101","A",182729,0,"+41.0264205","-121.9188956"
"168","2330","00263771","2330R","Montgomery Creek","Montgomery Creek Rancheria","85","D2","R","F","G2101","A",311113,0,"+40.8341874","-121.9156583"
"169","3095","01682404","3095R","Redding","Redding Rancheria","85","D2","R","F","G2101","A",106381,151,"+40.5066731","-122.3837502"
"170","3185","00265444","3185R","Roaring Creek","Roaring Creek Rancheria","85","D2","R","F","G2101","A",331930,234,"+40.8933119","-121.9534750"
"171","1550","02109298","1550R","Huron Potawatomi","Huron Potawatomi Reservation","86","D8","R","F","G2101","A",502064,18340,"+42.1050633","-085.2612148"
"172","2300","00685014","2300R","Mississippi Choctaw","Mississippi Choctaw Reservation","86","D8","R","F","G2101","A",121624770,254181,"+32.8163380","-089.2469050"
"173","0240","00219211","0240R","Big Lagoon","Big Lagoon Rancheria","85","D2","R","F","G2101","A",21072,0,"+41.1642587","-124.1207880"
"174","0325","02419316","0325R","Blue Lake","Blue Lake Rancheria","85","D8","R","F","G2101","A",127985,0,"+40.8831955","-123.9979742"
"175","1490","00251972","1490R","Hoopa Valley","Hoopa Valley Reservation","86","D2","R","F","G2101","A",364587623,2376733,"+41.0928249","-123.6758017"
"176","1750","02418982","1750R","Karuk","Karuk Reservation","86","D8","R","F","G2101","A",67100,0,"+41.8009311","-123.3767322"
"177","4015","01577203","4015R","Stockbridge Munsee","Stockbridge Munsee Community","82","D8","R","F","G2101","A",61080874,95812,"+44.9105914","-088.8885314"
"178","3750","00233021","3750R","Shingle Springs","Shingle Springs Rancheria","85","D8","R","F","G2101","A",641325,0,"+38.6967310","-120.9048687"
"179","2510","01934344","2510R","Ohkay Owingeh","Ohkay Owingeh","00","D2","R","F","G2101","A",68387920,797333,"+36.0532804","-106.0717366"
"180","3735","00232986","3735R","Sherwood Valley","Sherwood Valley Rancheria","85","D8","R","F","G2101","A",1422993,0,"+39.5370503","-123.4883321"
"181","1185","00399059","1185R","Fort Hall","Fort Hall Reservation","86","D8","R","F","G2101","A",2107580183,106333919,"+42.9681709","-112.3648656"
"182","0855","01267067","0855R","Crow Creek","Crow Creek Reservation","86","D2","R","F","G2101","A",1094338488,100591166,"+44.1246815","-099.4637679"
"183","1590","00479831","1590R","Iowa (KS-NE)","Iowa (KS-NE) Reservation","86","D8","R","F","G2101","A",50884152,15537,"+39.9971743","-095.3823380"
